,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,130,,6.90%," 157,495 "," 168,369.75 ",,,
23,7/16/2004,-0.05,1109.5,1111.25,1100.75,1103,,1103,178,8585,-0.030181818,0.309055286,0.160696875,0.113960721,0.388618316,-0.067224567,0,1.22,408.1,1.313,0.003217349,0.083090909,1.59906092,,,,,,,,,,
24,7/19/2004,-0.39,1103.25,1105.5,1096.25,1098.75,,1098.75,463,8657,-0.021818182,0.289981769,0.165513652,0.11372004,0.392953731,-0.061926428,0,-0.17,407.1,1.3075,0.003211742,0.105272727,1.586661828,,,,,,,,,,
25,7/20/2004,1.21,1097.5,1114.75,1097,1112,,1112,3114,11271,0.013272727,0.279681461,0.170214195,0.11298312,0.396180435,-0.055752044,0,-0.63,403.4,1.2875,0.003191621,0.079636364,1.586949045,,,,,,,,,,
26,7/21/2004,-1.89,1112.25,1116,1090.75,1091,,1091,41153,44108,-0.037454545,0.270605498,0.175430785,0.110814458,0.397059701,-0.04619813,0,0.34,398.6,1.2765,0.003202459,0.063272727,1.579384614,,,,,,,,,,
27,7/22/2004,0.27,1091,1098,1083.75,1094,,1094,1808,43825,-0.031818182,0.258730026,0.180068267,0.108812209,0.397692685,-0.037556151,0,1.17,396.6,1.285,0.00324004,0.057454545,1.574613672,,,,,,,,,,
28,7/23/2004,-0.75,1090.25,1092.75,1083.75,1085.75,,1085.75,2076,45118,-0.056,0.273784464,0.18490197,0.106912182,0.398726333,-0.028922393,0,-1.66,391.7,1.248,0.003186112,0.038363636,1.589153937,,,,,,,,,,
29,7/26/2004,-0.23,1087,1089.5,1078,1083.25,,1083.25,1175,45357,-0.045636364,0.269665892,0.190254309,0.10353945,0.397333209,-0.016824591,0,0.23,391.6,1.2505,0.003193309,0.032,1.58764489,,,,,,,,,,
30,7/27/2004,0.9,1086,1096,1085.25,1093,,1093,3233,47543,-0.001454545,0.251795524,0.195317025,0.099464401,0.394245827,-0.003611778,0,-1.55,388.4,1.221,0.003143666,-0.010363636,1.598366022,,,,,,,,,,
31,7/28/2004,0.27,1093.75,1097.25,1082.5,1096,,1096,998,48021,0.024181818,0.232403115,0.199379933,0.096221513,0.391822958,0.006936908,0,3.36,390.4,1.2685,0.003249232,0.077636364,1.648407721,,,,,,,,,,
32,7/29/2004,0.41,1097.25,1103.75,1096.25,1100.5,,1100.5,706,48144,0.016545455,0.214516379,0.202650162,0.093538415,0.389726993,0.015573332,0,2.5,388.4,1.2935,0.00333033,0.156363636,1.658978226,,,,,,,,,,
33,7/30/2004,0.09,1101.25,1104,1097,1101.5,,1101.5,447,48017,0.007272727,0.186922858,0.204906232,0.091579732,0.388065696,0.021746768,0,0.09,392.4,1.308,0.003333333,0.109454545,1.622665181,,,,,,,,,,
34,8/2/2004,0.41,1098.5,1108.25,1097.5,1106,,1106,646,47733,0.023090909,0.19266565,0.207364815,0.089335188,0.386035192,0.028694439,0,-0.37,393.1,1.3055,0.003321038,0.115090909,1.620409039,,,,,,,,,,
35,8/3/2004,-0.75,1104.75,1105.25,1097.25,1097.75,,1097.75,666,47830,0.007818182,0.199952732,0.210039476,0.086789168,0.383617813,0.03646114,0,-0.72,395.2,1.303,0.003297065,0.103818182,1.624085487,,,,,,,,,,
36,8/4/2004,-0.05,1094.5,1102.25,1091,1097.25,,1097.25,626,47877,0.022363636,0.201733431,0.212807131,0.083956137,0.380719406,0.044894857,0,-0.2,393.4,1.2945,0.003290544,0.112363636,1.621172374,,,,,,,,,,
37,8/5/2004,-1.69,1097.75,1098.75,1078,1078.75,,1078.75,570,48079,-0.016363636,0.186346419,0.214786519,0.081966281,0.378719082,0.050853956,0,-1.15,393.5,1.28,0.003252859,0.154,1.556359237,,,,,,,,,,
38,8/6/2004,-1.41,1080,1082.75,1061.5,1063.5,,1063.5,2302,48489,-0.036181818,0.213878342,0.217727076,0.078865957,0.375458991,0.059995161,0,-1.97,400.8,1.278,0.003188623,0.083454545,1.563210393,,,,,,,,,,
39,8/9/2004,0.07,1067.5,1068.25,1063,1064.25,,1064.25,164,48487,-0.041636364,0.211281568,0.220718422,0.075300648,0.371319717,0.070117127,0,-3.07,401.7,1.2415,0.003090615,-0.004363636,1.602458486,,,,,,,,,,
40,8/10/2004,1.13,1062.25,1078.25,1062.25,1076.25,,1076.25,289,48378,-0.024,0.228859014,0.22366453,0.072277147,0.368218824,0.079110236,0,1.43,401,1.257,0.003134663,0.013818182,1.613115792,,,,,,,,,,
41,8/11/2004,-0.02,1073.5,1077,1066.75,1076,,1076,1410,48707,-0.031454545,0.222692068,0.226542666,0.068889831,0.364322328,0.088763004,0,2.38,396.5,1.2725,0.003209332,0.039090909,1.639367846,,,,,,,,,,
42,8/12/2004,-1.12,1075,1076.5,1060.5,1064,,1064,543,47723,-0.078,0.216193236,0.229167899,0.065554349,0.360276597,0.098059201,0,-0.07,395.2,1.2675,0.003207237,0.023818182,1.636342456,,,,,,,,,,
43,8/13/2004,0.21,1064.25,1067.5,1060.5,1066.25,,1066.25,602,47619,-0.079818182,0.250171806,0.233449825,0.058607252,0.350664329,0.116235321,0,2.79,399.8,1.318,0.003296648,0.088363636,1.674423907,,,,,,,,,,
44,8/16/2004,1.06,1063.5,1080.5,1061.25,1077.5,,1077.5,4548,51028,-0.071636364,0.223465701,0.237491465,0.04920284,0.335897145,0.139085784,0,-1.18,403.8,1.3155,0.003257801,0.068727273,1.682984622,,,,,,,,,,
45,8/17/2004,0.53,1078,1086.75,1077,1083.25,,1083.25,403,50952,-0.058,0.199246727,0.239948059,0.043420339,0.326788738,0.153107381,0,-0.98,405.3,1.3075,0.003226005,0.020727273,1.674385299,,,,,,,,,,
46,8/18/2004,1.06,1084,1096,1078.5,1094.75,,1094.75,1976,51196,-0.040727273,0.146906715,0.240025933,0.043246049,0.326518031,0.153533835,-0.00662712,-2.81,405.2,1.2705,0.003135489,-0.042363636,1.71473998,,short,-142," 155,455 ",Sh,,,,,
47,8/19/2004,-0.3,1093.75,1095,1086.5,1091.5,,1091.5,186,51222,-0.052727273,0.140638993,0.239709732,0.043915082,0.327539896,0.151879567,-0.011240575,0.98,407.9,1.2915,0.003166217,-0.043090909,1.714289479,,,,,,,,,,
48,8/20/2004,0.69,1091.5,1100.5,1087.5,1099,,1099,4455,55294,-0.023272727,0.120290609,0.238690289,0.046013572,0.330717432,0.146663146,-0.026372537,-3.23,414,1.2685,0.00306401,-0.052727273,1.730910117,,,,,,,,,,
49,8/23/2004,-0.23,1101.5,1101.75,1094.75,1096.5,,1096.5,1467,55344,-0.041272727,0.136186245,0.238281582,0.046830131,0.331941843,0.14462132,-0.008435074,-1.49,411.3,1.2415,0.003018478,-0.093636364,1.7379206,,,,,,,,,,
50,8/24/2004,0.11,1099.25,1101,1093,1097.75,,1097.75,3804,57520,-0.067272727,0.162399605,0.238053842,0.047173145,0.332400132,0.143707553,0,1.73,403.5,1.239,0.003070632,-0.028181818,1.737571838,,cover,142," (155,881)",Sh,,,,,
51,8/25/2004,0.59,1098,1106.5,1093.5,1104.25,,1104.25,3651,59584,-0.059272727,0.108521903,0.236190333,0.050189073,0.336568479,0.135812188,-0.027290285,-1.18,408.5,1.2395,0.003034272,-0.086545455,1.720990475,,short,-139," 153,491 ",Sh,,,,,
52,8/26/2004,0.05,1104,1107,1102,1104.75,,1104.75,3284,62345,-0.041272727,0.115431749,0.234285428,0.052731033,0.339747495,0.128823362,-0.013391613,1.01,408,1.2505,0.003064951,-0.040181818,1.715448857,,,,,,,,,,
53,8/27/2004,0.34,1105,1110,1103.25,1108.5,,1108.5,654,61981,-0.043454545,0.070815916,0.231563363,0.057134647,0.345832657,0.117294068,-0.046478152,1.73,403.8,1.259,0.00311788,0.069272727,1.629149806,,,,,,,,,,
54,8/30/2004,-0.83,1107.5,1108.25,1099,1099.25,,1099.25,2502,64055,-0.058545455,0.081908942,0.229003202,0.060588713,0.350180628,0.107825776,-0.025916834,-1.08,410,1.2645,0.003084146,0.042909091,1.635911426,,,,,,,,,,
55,8/31/2004,0.48,1099.75,1105.75,1094.75,1104.5,,1104.5,5594,67820,-0.032545455,0.071044867,0.22605524,0.064217363,0.354489966,0.097620513,-0.026575646,0.72,412.4,1.281,0.003106208,0.076545455,1.630358082,,,,,,,,,,
56,9/1/2004,0.23,1104.5,1110,1098.5,1107,,1107,14214,71310,-0.041636364,0.045999294,0.222067135,0.068406552,0.35888024,0.08525403,-0.039254736,0.08,410.8,1.277,0.003108569,0.039090909,1.605549719,,,,,,,,,,
57,9/2/2004,1.17,1105.75,1120.5,1105,1120,,1120,4832,75073,-0.019090909,0.012475826,0.217467722,0.07373302,0.364933763,0.070001681,-0.057525855,-1.6,408,1.248,0.003058824,0.012,1.62061191,,,,,,,,,,
58,9/3/2004,-0.45,1115.5,1121.25,1113.5,1115,,1115,12906,85818,-0.024,0.008394764,0.213258169,0.078858396,0.370974962,0.055541377,-0.047146613,0.8,402.5,1.241,0.00308323,0.016181818,1.622374221,,,,,,,,,,
59,9/7/2004,0.7,1117.5,1125,1115,1122.75,,1122.75,23336,103802,-0.016181818,0.055488445,0.209800162,0.081534976,0.372870113,0.04673021,0,3.37,399.4,1.273,0.003187281,0.115636364,1.657525782,,cover,139," (156,062)",Sh,,,,,
60,9/8/2004,-0.31,1122.5,1124,1116.75,1119.25,,1119.25,31769,129992,-0.015454545,0.065382292,0.20658754,0.083692175,0.37397189,0.039203189,0,-1.71,401.4,1.2575,0.003132785,0.075272727,1.674686101,,,,,,,,,,
61,9/9/2004,-0.11,1119,1122.25,1113.75,1118,,1118,622370,264485,-0.026363636,0.091055702,0.204408737,0.085125673,0.374660083,0.034157391,0,0.89,400.4,1.2655,0.003160589,0.143818182,1.62798841,,,,,,,,,,
62,9/10/2004,0.54,1118.25,1126.25,1114.25,1124,,1124,540756,335976,-0.031272727,0.060565012,0.201163329,0.087158367,0.375480064,0.026846595,0,0.41,403.8,1.2815,0.003173601,0.102,1.589945725,,,,,,,,,,
63,9/13/2004,0.38,1124,1130.75,1123.25,1128.25,,1128.25,643021,411083,-0.02,0.058890822,0.197708768,0.088977991,0.37566475,0.019752786,0,-0.27,406,1.285,0.003165025,0.090545455,1.590321908,,,,,,,,,,
64,9/14/2004,0.16,1128,1130.5,1125.25,1130,,1130,520668,468958,-0.007454545,0.046330315,0.193924665,0.090924276,0.375773217,0.012076113,0,-0.91,407.5,1.278,0.003136196,0.093454545,1.588304731,,,,,,,,,,
65,9/15/2004,-0.82,1129.75,1130.25,1120,1120.75,,1120.75,557925,505879,-0.016727273,0.056119895,0.190409907,0.092462183,0.375334273,0.005485541,0,-0.61,406.8,1.268,0.003117011,0.076727273,1.590824448,,,,,,,,,,
66,9/16/2004,0.33,1121.25,1127,1120.75,1124.5,,1124.5,452590,527236,-0.017090909,0.074547812,0.18729904,0.093442454,0.374183949,0.000414132,0,2.44,406.5,1.298,0.003193112,0.138,1.616031261,,,,,,,,,,
67,9/17/2004,0.4,1124.5,1131.5,1122.75,1129,,1129,518182,551596,-0.017090909,0.05625368,0.183536523,0.094490358,0.372517238,-0.005444192,0,-0.12,407.6,1.3,0.003189401,0.084909091,1.574386268,,,,,,,,,,
68,9/20/2004,-0.51,1124.75,1128,1122.25,1123.25,,1123.25,3979,1989,-0.003636364,0.052124209,0.178822223,0.09446047,0.367743163,-0.010098716,0,1.53,407,1.318,0.003238329,0.104909091,1.585796765,,,,,,,,,,
69,9/21/2004,0.45,1126,1133,1125,1128.25,,1128.25,125,1987,0.004545455,0.059259904,0.174216699,0.093992897,0.362202492,-0.013769095,0,1.09,410.1,1.3425,0.003273592,0.140727273,1.585386802,,,,,,,,,,
70,9/22/2004,-1.29,1126.75,1127.25,1113.5,1113.75,,1113.75,228,2085,-0.000363636,0.029666052,0.169547671,0.094689419,0.358926509,-0.019831168,0,2.43,409,1.3715,0.003353301,0.160181818,1.607042938,,,,,,,,,,
71,9/23/2004,-0.52,1114,1115,1108,1108,,1108,263,2182,-0.014727273,0.042164646,0.165566089,0.095367892,0.356301872,-0.025169695,0,-1.63,412.6,1.361,0.003298594,0.120727273,1.624092743,,,,,,,,,,
72,9/24/2004,0.41,1108.5,1113.5,1108.5,1112.5,,1112.5,95,2184,0.004545455,0.028162698,0.161119705,0.095978737,0.35307718,-0.03083777,0,0.74,409.7,1.3615,0.003323163,0.163636364,1.60835016,,,,,,,,,,
73,9/27/2004,-0.56,1109.5,1109.5,1104.5,1106.25,,1106.25,42,2199,-0.008909091,0.011420788,0.157270059,0.097675798,0.352621656,-0.038081538,0,1.22,410.7,1.3815,0.003363769,0.140181818,1.582701033,,,,,,,,,,
74,9/28/2004,0.41,1104.5,1113.5,1104.5,1110.75,,1110.75,363,2259,-0.002181818,0.000928306,0.151874081,0.097970999,0.347816079,-0.044067917,0,-1.46,414.2,1.373,0.003314824,0.123636364,1.59476036,,,,,,,,,,
75,9/29/2004,0.5,1110.5,1116.5,1108.5,1116.25,,1116.25,480,2497,0.005272727,0.008851721,0.146100649,0.096846121,0.339792892,-0.047591593,0,1.37,414.7,1.3935,0.00336026,0.117454545,1.58914631,,,,,,,,,,
76,9/30/2004,-0.02,1117,1118.25,1110.75,1116,,1116,134,2557,0.009818182,0.004390215,0.140254597,0.09548524,0.331225076,-0.050715883,0,-0.97,420.4,1.399,0.003327783,0.117454545,1.58914631,,,,,,,,,,
77,10/1/2004,1.66,1122.5,1134.5,1122.5,1134.5,,1134.5,749,2806,0.053090909,0.024290073,0.135100672,0.093914007,0.322928686,-0.052727341,0,0.38,421.2,1.407,0.003340456,0.102545455,1.582635189,,,,,,,,,,
78,10/4/2004,0.2,1132.5,1141.5,1132.5,1136.75,,1136.75,428,2915,0.057636364,0.02794524,0.129989581,0.091899371,0.313788322,-0.053809161,0,0.84,415.6,1.4,0.003368624,0.095636364,1.578490563,,,,,,,,,,
79,10/5/2004,0.09,1137.5,1139.75,1134.5,1137.75,,1137.75,534,2768,0.066363636,0.025757554,0.125185504,0.090272648,0.305730801,-0.055359793,0,-0.68,419.8,1.4045,0.003345641,0.086363636,1.581574887,,,,,,,,,,
80,10/6/2004,0.55,1138,1144.75,1135.5,1144,,1144,458,2771,0.054363636,0.050742232,0.121022973,0.088272934,0.297568841,-0.055522896,0,1.48,420,1.426,0.003395238,0.124727273,1.589447673,,,,,,,,,,
81,10/7/2004,-0.98,1143.5,1143.5,1132.75,1132.75,,1132.75,522,3005,0.070909091,0.051160317,0.11703306,0.086324569,0.289682197,-0.055616077,0,0.65,419.5,1.4335,0.003417163,0.130363636,1.590774286,,,,,,,,,,
82,10/8/2004,-0.84,1133,1137,1122,1123.25,,1123.25,689,3015,0.050727273,0.023722562,0.112760197,0.084986812,0.282733822,-0.057213427,0,1.65,424.5,1.4745,0.003473498,0.139090909,1.597884334,,,,,,,,,,
83,10/11/2004,0.36,1126,1127.5,1124,1127.25,,1127.25,235,2990,0.070909091,-0.000748614,0.107768687,0.083401533,0.274571752,-0.059034379,0,0.19,423.4,1.4735,0.003480161,0.172727273,1.578667341,,,,,,,,,,
84,10/12/2004,-0.33,1126.5,1126.5,1117.75,1123.5,,1123.5,857,2729,0.069090909,-0.000299751,0.10286022,0.081622098,0.266104416,-0.060383975,0,0.15,416.6,1.452,0.003485358,0.171272727,1.578650449,,,,,,,,,,
85,10/13/2004,-0.91,1126,1128,1111.25,1113.25,,1113.25,672,2608,0.036181818,0.145933665,0.100935459,0.079258934,0.259453328,-0.05758241,0,-10.45,414.6,1.294,0.003121081,0.009454545,2.121249997,,,,,,,,,,
86,10/14/2004,-0.83,1112.75,1116.25,1103.75,1104,,1104,751,2495,0.016181818,0.161833902,0.099652383,0.077646061,0.254944504,-0.055639739,0,-2.5,419.5,1.2765,0.003042908,-0.097090909,2.096870395,,,,,,,,,,
87,10/15/2004,0.48,1105.25,1114,1103.5,1109.25,,1109.25,356,2747,0.017454545,0.165395236,0.098759271,0.076575513,0.251910297,-0.054391754,0,2.87,420.1,1.315,0.003130207,-0.090363636,2.105930747,,,,,,,,,,
88,10/18/2004,0.45,1106.5,1115.5,1105.5,1114.25,,1114.25,338,2764,0.024,0.157704185,0.098228022,0.076052109,0.25033224,-0.053876195,0,-1.31,417.6,1.29,0.00308908,-0.115818182,2.11216204,,,,,,,,,,
89,10/19/2004,-0.88,1114.5,1119.5,1103.75,1104.5,,1104.5,1592,3253,0.000545455,0.156214721,0.097565278,0.075369668,0.248304614,-0.053174058,0,-0.03,421.6,1.302,0.003088235,-0.109636364,2.111901867,,,,,,,,,,
90,10/20/2004,-0.16,1103,1104.75,1095,1102.75,,1102.75,143,3251,0.011272727,0.152733087,0.096706739,0.074445039,0.245596817,-0.052183339,0,-0.41,424.8,1.3065,0.003075565,-0.104,2.110656033,,,,,,,,,,
91,10/21/2004,0.54,1103.75,1110,1099.5,1108.75,,1108.75,832,3825,0.022,0.156556787,0.095885346,0.073508095,0.242901536,-0.051130844,0,0.65,425.6,1.3175,0.00309563,-0.088545455,2.113050645,,,,,,,,,,
92,10/22/2004,-1.06,1109.25,1110.5,1096,1097,,1097,526,3626,0.033454545,0.146055153,0.095152777,0.072787113,0.240727004,-0.050421449,0,-0.61,425.6,1.3095,0.003076833,-0.078727273,2.109278492,,,,,,,,,,
93,10/25/2004,-0.07,1095,1097.5,1090,1096.25,,1096.25,850,3687,0.057818182,0.119135403,0.093430178,0.071025068,0.235480314,-0.048619957,0,-3.27,429.9,1.2795,0.002976274,-0.102363636,2.137953299,,,,,,,,,,
94,10/26/2004,1.48,1096.75,1113,1096,1112.5,,1112.5,184,3679,0.083454545,0.135049469,0.09204414,0.069408054,0.230860247,-0.046771967,0,0.97,427.6,1.285,0.003005145,-0.028909091,2.103224749,,,,,,,,,,
95,10/27/2004,1.21,1112,1127.25,1109.5,1126,,1126,4735,7629,0.084909091,0.125926782,0.090172645,0.06699653,0.224165706,-0.043820415,0,0.7,425.6,1.288,0.003026316,-0.042181818,2.096139035,,,,,,,,,,
96,10/28/2004,0.24,1125.75,1132,1122,1128.75,,1128.75,423,7753,0.089636364,0.122352912,0.088348297,0.064646046,0.21764039,-0.040943796,0,-3.18,427.8,1.2535,0.002930108,-0.143272727,2.111178409,,,,,,,,,,
97,10/29/2004,0.24,1127.5,1132.5,1126.5,1131.5,,1131.5,4773,11901,0.114363636,0.128167225,0.086747824,0.062475528,0.21169888,-0.038203232,0,5.86,431.2,1.3375,0.003101809,-0.035454545,2.261090214,,,,,,,,,,
98,11/1/2004,0.04,1127.75,1135,1127.75,1132,,1132,2858,14163,0.111272727,0.127514407,0.084517689,0.058603078,0.201723845,-0.032688467,0,-1.95,429.9,1.3075,0.003041405,-0.121636364,2.241652634,,,,,,,,,,
99,11/2/2004,0,1127.25,1142.25,1127.25,1132,,1132,5613,18254,0.092,0.137930837,0.08296251,0.055921028,0.194804566,-0.028879546,0,2.76,422.5,1.3205,0.003125444,-0.05,2.269980421,,,,,,,,,,
100,11/3/2004,1.28,1131.5,1150.5,1131.5,1146.5,,1146.5,3100,18705,0.105636364,0.134834011,0.08179137,0.054084966,0.189961301,-0.026378562,0,-0.37,427.1,1.33,0.003114025,-0.038909091,2.266840412,,,,,,,,,,
101,11/4/2004,1.35,1146.25,1163,1143.75,1162,,1162,5788,22310,0.110909091,0.169955001,0.08221043,0.054684799,0.191580027,-0.027159168,0,0.14,432.6,1.349,0.003118354,0.014727273,2.234731614,,,,,,,,,,
102,11/5/2004,0.65,1161.75,1173.25,1160.75,1169.5,,1169.5,5359,26732,0.128181818,0.176316341,0.082859109,0.055594756,0.19404862,-0.028330403,0,0.23,436.1,1.363,0.00312543,0.001090909,2.231017599,,,,,,,,,,
103,11/8/2004,-0.11,1165.75,1168.75,1164.25,1168.25,,1168.25,2244,28694,0.113636364,0.204119234,0.084383265,0.057747388,0.199878041,-0.031111511,0.004241192,0.07,435.3,1.3615,0.003127728,0.061090909,2.186441954,,buy,132," (154,209.00)",B,,,,,
104,11/9/2004,-0.19,1166.75,1170.75,1165.25,1166,,1166,4362,32828,0.114363636,0.19727542,0.085493978,0.059328077,0.204150133,-0.033162177,0,0.36,438.2,1.3755,0.003138978,0.094727273,2.176344926,,sell,-132," 153,912.00 ",B,,,,,
105,11/10/2004,0.04,1169,1171.5,1165,1166.5,,1166.5,5012,36942,0.113090909,0.198829544,0.08615634,0.060396325,0.20694899,-0.03463631,0,-0.55,436.6,1.363,0.003121851,0.053272727,2.166311129,,,,,,,,,,
106,11/11/2004,0.77,1167,1178,1165.5,1175.5,,1175.5,1391,37325,0.116363636,0.20957302,0.087993633,0.062586602,0.213166836,-0.03717957,0,0.49,437.5,1.3725,0.003137143,0.083636364,2.160400652,,,,,,,,,,
107,11/12/2004,0.77,1175,1186.75,1174,1184.5,,1184.5,10212,46457,0.129454545,0.215641658,0.089815632,0.064818986,0.219453604,-0.03982234,0,0.93,440.4,1.3945,0.00316644,0.082181818,2.159792249,,,,,,,,,,
108,11/15/2004,0.27,1185.5,1187.75,1182.75,1187.75,,1187.75,818,46835,0.128181818,0.211830701,0.092379537,0.066811813,0.226003163,-0.041244089,0,-0.28,439.4,1.3875,0.003157715,0.045636364,2.148368687,,,,,,,,,,
109,11/16/2004,-0.69,1187.5,1187.5,1178.5,1179.5,,1179.5,474,46849,0.130727273,0.219641386,0.094883763,0.068958821,0.232801404,-0.043033878,0,-2.05,442.6,1.369,0.003093086,0.028,2.161720337,,,,,,,,,,
