,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
10,6/25/2012,-1.52,1318.75,1318.75,1296,1299,,1299,671,12816,-0.089272727,0.498703343,0.489025363,0.126169692,0.741364748,0.236685979,0,-1.06,1588.4,3.316,0.002087635,-0.186363636,1.410951037,,,,,,,,,,
11,6/26/2012,0.62,1300.5,1311,1297,1307,,1307,1712,14071,-0.054363636,0.524590166,0.493406722,0.123050016,0.739506754,0.247306689,0,0.77,1574.9,3.313,0.002103626,-0.123090909,1.3732091,,,,,,,,,,
12,6/27/2012,0.9,1308,1321.5,1306.25,1318.75,,1318.75,976,14565,-0.048181818,0.513193626,0.496791966,0.120930215,0.738652396,0.254931536,0,0.88,1578.4,3.3495,0.002122086,-0.054909091,1.326600882,,,,,,,,,,
13,6/28/2012,-0.25,1318.5,1321,1300.5,1315.5,,1315.5,1762,15012,-0.081090909,0.510270526,0.500172468,0.118596481,0.737365431,0.262979506,0,1.08,1552.5,3.33,0.002144928,-0.030545455,1.335042541,,,,,,,,,,
14,6/29/2012,2.68,1314.75,1352.5,1309.75,1350.75,,1350.75,2433,14792,-0.003636364,0.516810643,0.503412161,0.116517331,0.736446823,0.270377499,0,1.4,1606.4,3.494,0.00217505,-0.023090909,1.341973219,,,,,,,,,,
15,7/2/2012,0.04,1352,1355,1343.25,1351.25,,1351.25,1168,14868,-0.001272727,0.504561975,0.506014758,0.114874032,0.735762823,0.276266694,0,-0.37,1599.9,3.467,0.00216701,-0.005818182,1.331040655,,,,,,,,,,
16,7/3/2012,0.78,1350.75,1362,1348.75,1361.75,,1361.75,1358,14868,-0.015636364,0.508668801,0.50834452,0.113574002,0.735492523,0.281196516,0,0.53,1624,3.538,0.002178571,-0.008181818,1.329951393,,,,,,,,,,
17,7/5/2012,-0.46,1349,1368,1349,1355.25,,1355.25,1418,14968,-0.008363636,0.511489874,0.510677754,0.112265288,0.735208329,0.286147178,0,-0.55,1611.6,3.4915,0.002166481,-0.026181818,1.330472613,,,,,,,,,,
18,7/6/2012,-0.7,1356,1356.25,1336.25,1345.75,,1345.75,972,15062,-0.024727273,0.515676133,0.513208552,0.110742695,0.734693941,0.291723162,0,-0.55,1581.1,3.4065,0.002154513,-0.040909091,1.33172858,,,,,,,,,,
19,7/9/2012,-0.24,1343,1343,1334.5,1342.5,,1342.5,1183,15310,-0.013090909,0.515224107,0.515816101,0.109026775,0.733869651,0.297762552,0,0.02,1591.4,3.4295,0.002155021,-0.036727273,1.331548882,,,,,,,,,,
20,7/10/2012,-1.01,1341.25,1349.75,1324.5,1329,,1329,2419,15500,-0.041454545,0.519506046,0.51857358,0.107116163,0.732805906,0.304341255,0,-0.39,1582.1,3.396,0.002146514,-0.077636364,1.306524884,,,,,,,,,,
21,7/11/2012,-0.02,1329.25,1335,1321.5,1328.75,,1328.75,3632,16492,-0.064545455,0.504915101,0.520909614,0.105345256,0.731600127,0.310219102,0,1.73,1578.1,3.446,0.002183639,-0.022,1.317315452,,,,,,,,,,
22,7/12/2012,-0.55,1330.5,1331.5,1313.25,1321.5,,1321.5,3673,17109,-0.087636364,0.502945822,0.522889176,0.103931112,0.7307514,0.315026953,0,-0.27,1567.6,3.414,0.002177851,-0.037636364,1.315018608,,,,,,,,,,
23,7/13/2012,1.8,1323,1346,1322,1345.25,,1345.25,2427,17682,-0.056181818,0.503095246,0.52567459,0.101226685,0.72812796,0.323221221,0,0.88,1594.4,3.503,0.002197065,-0.036909091,1.315523938,,,,,,,,,,
24,7/16/2012,-0.39,1344.5,1345.5,1336.5,1340,,1340,1387,18373,-0.058,0.500456317,0.528321015,0.098546593,0.725414202,0.331227828,0,-0.51,1593.9,3.484,0.002185833,-0.058727273,1.313193809,,,,,,,,,,
25,7/17/2012,0.82,1340,1353.5,1333,1351,,1351,1994,18766,-0.050545455,0.490589773,0.530654545,0.096028583,0.72271171,0.338597379,0,-0.72,1591.8,3.4545,0.002170185,-0.091636364,1.30653594,,,,,,,,,,
26,7/18/2012,0.67,1351,1363.25,1345.75,1360,,1360,2120,18228,-0.034727273,0.498131294,0.533078017,0.093412741,0.719903499,0.346252535,0,1.75,1573.1,3.4735,0.002208061,-0.064181818,1.329300416,,,,,,,,,,
27,7/19/2012,0.33,1360.5,1368.75,1359.75,1364.5,,1364.5,1445,18418,-0.013636364,0.498223203,0.535422993,0.09080641,0.717035812,0.353810173,0,1.14,1582.7,3.5345,0.002233209,-0.050727273,1.337803416,,,,,,,,,,
28,7/20/2012,-0.97,1364.5,1364.75,1350.25,1351.25,,1351.25,845,18700,-1.34E-15,0.508041395,0.538152219,0.087571254,0.713294728,0.363009711,0,-2.57,1585,3.4485,0.00217571,-0.080363636,1.375394844,,,,,,,,,,
29,7/23/2012,-1.11,1349.5,1349.5,1325.5,1336.25,,1336.25,1836,19933,-0.022909091,0.518662408,0.540905871,0.084421039,0.709747948,0.372063794,0,-1.63,1579.7,3.381,0.00214028,-0.106181818,1.391111321,,,,,,,,,,
30,7/24/2012,-1.07,1335.5,1338.75,1317,1322,,1322,1246,20108,-0.034727273,0.516100285,0.543324543,0.081676381,0.706677305,0.379971781,0,-0.72,1578.5,3.354,0.002124802,-0.101090909,1.388289212,,,,,,,,,,
31,7/25/2012,0.43,1320,1332.25,1314.25,1327.75,,1327.75,1959,20437,-0.017090909,0.509079324,0.545775513,0.07846922,0.702713954,0.388837073,0,-1.36,1610.3,3.375,0.002095883,-0.158727273,1.373199905,,,,,,,,,,
32,7/26/2012,1.51,1326.75,1351.75,1321.25,1347.75,,1347.75,1692,20982,0.002,0.504354329,0.547881931,0.07567439,0.699230711,0.39653315,0,0.11,1617.4,3.3935,0.00209812,-0.149454545,1.373262428,,,,,,,,,,
33,7/27/2012,2.06,1347.75,1377.5,1346.5,1375.5,,1375.5,2307,21281,0.048545455,0.512191285,0.549552855,0.073796241,0.697145336,0.401960374,0,0.78,1620.3,3.426,0.002114423,-0.137090909,1.378600569,,,,,,,,,,
34,7/30/2012,-0.11,1373.5,1380,1369.25,1374,,1374,1887,22538,0.068909091,0.510538194,0.550787644,0.07253128,0.695850204,0.405725084,0,-0.38,1621.7,3.416,0.002106432,-0.157636364,1.373546321,,,,,,,,,,
35,7/31/2012,-0.62,1372.75,1378.75,1364.25,1365.5,,1365.5,1614,22843,0.065090909,0.501154206,0.551873784,0.07129997,0.694473723,0.409273844,0,0.62,1612.4,3.4175,0.002119511,-0.138363636,1.376943426,,,,,,,,,,
36,8/1/2012,-0.16,1365.75,1373.75,1360.5,1363.25,,1363.25,3840,23000,0.071090909,0.494603399,0.552031661,0.071160704,0.694353069,0.409710252,0,-0.79,1605.1,3.375,0.002102673,-0.132,1.37303179,,,,,,,,,,
37,8/2/2012,-0.61,1363,1376.25,1343,1355,,1355,3946,23877,0.089454545,0.49737566,0.551995765,0.071188263,0.694372291,0.409619239,0,-1.49,1588.6,3.2905,0.002071321,-0.144727273,1.38245602,,,,,,,,,,
38,8/3/2012,2.01,1354,1383,1353.25,1382.25,,1382.25,3163,24932,0.14,0.512607153,0.552309359,0.070971813,0.694252984,0.410365734,0,1.16,1607.1,3.3675,0.002095389,-0.127090909,1.392952729,,,,,,,,,,
39,8/6/2012,0.09,1383.75,1388.5,1380.5,1383.5,,1383.5,1230,26086,0.106545455,0.48933352,0.551515282,0.071434589,0.69438446,0.408646104,0,0.2,1614.1,3.389,0.002099622,-0.079636364,1.357752723,,,,,,,,,,
40,8/7/2012,0.51,1382.25,1396,1381.25,1390.5,,1390.5,2370,27159,0.116545455,0.482156169,0.548829094,0.071210022,0.691249138,0.406409049,0,1.73,1610.7,3.4405,0.002136028,-0.023454545,1.367685553,,,,,,,,,,
41,8/8/2012,0.05,1388.75,1392.75,1384,1391.25,,1391.25,1010,27698,0.117090909,0.469516168,0.545800894,0.070972419,0.687745731,0.403856057,0,-0.75,1613.9,3.4215,0.00212002,-0.058909091,1.360639382,,,,,,,,,,
42,8/9/2012,0.16,1391.5,1396.75,1387.5,1393.5,,1393.5,568,27773,0.109636364,0.470695257,0.542779727,0.070559895,0.683899517,0.401659937,0,-0.16,1618.1,3.425,0.00211668,-0.068363636,1.359480788,,,,,,,,,,
43,8/10/2012,0.11,1393.25,1395.5,1385.75,1395,,1395,1390,28744,0.122363636,0.468730693,0.53980879,0.070166953,0.680142695,0.399474885,0,-1.11,1620.7,3.3925,0.002093231,-0.073272727,1.362802198,,,,,,,,,,
44,8/13/2012,0,1395,1396,1387.25,1395,,1395,4676,32520,0.111636364,0.467437942,0.537008725,0.069921395,0.676851515,0.397165934,0,-0.53,1610.6,3.3535,0.002082143,-0.089818182,1.362721257,,,,,,,,,,
