,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
22,10/9/1997,988.5,9.33,5.98,3.35,-0.004281038,0.006006006,,,,,,0,
23,10/10/1997,987.25,9.34,6.03,3.31,-0.001264542,-0.011940299,,,,,,0,
24,10/14/1997,988,9.33,5.97,3.36,0.000759686,0.01510574,,,,,,0,
25,10/15/1997,984,9.31,6,3.31,-0.004048583,-0.014880952,,,,,,0,
26,10/16/1997,970.25,9.31,6,3.31,-0.013973577,0,,,,,,0,
27,10/17/1997,959.25,9.32,6.08,3.24,-0.011337284,-0.021148036,,,,,,0,
28,10/20/1997,972.75,9.32,6.07,3.25,0.014073495,0.00308642,,,,,,0,
29,10/21/1997,990.25,9.33,6.07,3.26,0.017990234,0.003076923,,,,,,0,
30,10/22/1997,985.25,9.33,6.06,3.27,-0.00504923,0.003067485,,,,,,0,
31,10/23/1997,966,9.34,5.95,3.39,-0.019538188,0.036697248,,,,,,0,
32,10/24/1997,954.5,9.35,5.94,3.41,-0.011904762,0.005899705,,,,,,0,
33,10/27/1997,884.5,9.52,5.79,3.73,-0.073336826,0.093841642,,,,,,0,
34,10/28/1997,934.25,9.63,5.89,3.74,0.056246467,0.002680965,,,,,,0,
35,10/29/1997,934,9.58,5.78,3.8,-0.000267594,0.016042781,,,,,,0,
36,10/30/1997,912.25,9.6,5.73,3.87,-0.023286938,0.018421053,,,,,,0,
37,10/31/1997,933.5,9.62,5.72,3.9,0.023294053,0.007751938,,,,,,0,
38,11/3/1997,955.5,9.59,5.79,3.8,0.02356722,-0.025641026,,,,,,0,
39,11/4/1997,952,9.55,5.83,3.72,-0.003663004,-0.021052632,,,,,,0,
40,11/5/1997,957,9.51,5.84,3.67,0.005252101,-0.01344086,,,,,,0,
41,11/6/1997,952.25,9.49,5.79,3.7,-0.004963427,0.008174387,,,,,,0,
42,11/7/1997,941,9.51,5.81,3.7,-0.011814124,0,,,,,,0,
43,11/10/1997,936,9.47,5.82,3.65,-0.005313496,-0.013513514,,,,,,0,
44,11/12/1997,917.75,9.48,5.81,3.67,-0.019497863,0.005479452,,,,,,0,
45,11/13/1997,929,9.51,5.79,3.72,0.01225824,0.013623978,,,,,,0,
46,11/14/1997,942.5,9.51,5.8,3.71,0.014531755,-0.002688172,,,,,,0,
47,11/17/1997,960,9.5,5.79,3.71,0.018567639,0,,,,,,0,
48,11/18/1997,952.5,9.49,5.8,3.69,-0.0078125,-0.005390836,,,,,,0,
49,11/19/1997,958,9.5,5.77,3.73,0.005774278,0.010840108,,,,,,0,
50,11/20/1997,973.25,9.5,5.8,3.7,0.01591858,-0.008042895,,,,,,0,
51,11/21/1997,980,9.5,5.77,3.73,0.006935525,0.008108108,,,,,,0,
52,11/24/1997,960,9.5,5.81,3.69,-0.020408163,-0.010723861,,,,,,0,
53,11/25/1997,962,9.49,5.8,3.69,0.002083333,0,,,,,,0,
54,11/26/1997,965.5,9.49,5.82,3.67,0.003638254,-0.005420054,,,,,,0,
55,11/28/1997,965.25,9.48,5.83,3.65,-0.000258933,-0.005449591,-0.303277062,,,,,0,
56,12/1/1997,990.25,9.5,5.83,3.67,0.025900026,0.005479452,-0.309916722,,,,,0,
57,12/2/1997,986,9.47,5.83,3.64,-0.004291845,-0.008174387,-0.30594352,,,,,0,
58,12/3/1997,988.5,9.45,5.8,3.65,0.002535497,0.002747253,-0.331201108,,,,,0,
59,12/4/1997,988,9.44,5.78,3.66,-0.000505817,0.002739726,-0.334341322,,,,,0,
